train/n_updates,rollout/ep_len_mean,time/episodes,train/learning_rate,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/exploration_rate,train/loss
674,800.0,4,0.001,1,3200,2147,-3363.5099945,0.6959999999999997,0.9644742608070374
1474,800.0,8,0.001,3,6400,2069,-2840.56662975,0.39199999999999957,1.239628553390503
2274,800.0,12,0.001,5,9600,1773,-2501.3423390000003,0.0880000000000003,1.383879542350769
3074,800.0,16,0.001,8,12800,1593,-2293.6516183125,0.05,1.597650170326233
3874,800.0,20,0.001,11,16000,1441,-2175.88077275,0.05,1.757218837738037
4674,800.0,24,0.001,13,19200,1380,-2078.219863375,0.05,1.4972681999206543
5474,800.0,28,0.001,16,22400,1322,-2007.04951,0.05,1.4949028491973877
6274,800.0,32,0.001,19,25600,1318,-1953.8500219374998,0.05,1.5478262901306152
7074,800.0,36,0.001,21,28800,1315,-1896.3132356944443,0.05,1.2994115352630615
7874,800.0,40,0.001,24,32000,1316,-1855.6340420000001,0.05,1.2213307619094849
8674,800.0,44,0.001,26,35200,1306,-1810.6254606363639,0.05,1.1075782775878906
9474,800.0,48,0.001,28,38400,1324,-1782.9123299583332,0.05,1.7671120166778564
10274,800.0,52,0.001,31,41600,1314,-1757.5413162499997,0.05,1.1781216859817505
11074,800.0,56,0.001,34,44800,1303,-1732.2876860714289,0.05,1.4877667427062988
11874,800.0,60,0.001,36,48000,1305,-1708.5298640166668,0.05,1.7252775430679321
12674,800.0,64,0.001,38,51200,1323,-1690.1444211093751,0.05,1.3143408298492432
13474,800.0,68,0.001,40,54400,1346,-1668.5142716617647,0.05,1.6037466526031494
14274,800.0,72,0.001,42,57600,1362,-1654.8742686944445,0.05,2.7009212970733643
15074,800.0,76,0.001,44,60800,1376,-1638.6472690789471,0.05,1.3421931266784668
15874,800.0,80,0.001,46,64000,1387,-1621.452429375,0.05,1.430242896080017
16674,800.0,84,0.001,48,67200,1395,-1607.4551243095239,0.05,1.5335748195648193
17474,800.0,88,0.001,50,70400,1406,-1595.331689,0.05,1.11652410030365
18274,800.0,92,0.001,51,73600,1416,-1587.1441444673912,0.05,1.4914289712905884
19074,800.0,96,0.001,53,76800,1423,-1574.954760625,0.05,1.3737863302230835
19874,800.0,100,0.001,55,80000,1431,-1565.2132628000004,0.05,1.0173280239105225
20674,800.0,104,0.001,57,83200,1435,-1483.7818833499998,0.05,1.1358760595321655
21474,800.0,108,0.001,59,86400,1442,-1444.8124323599998,0.05,1.5295640230178833
22274,800.0,112,0.001,61,89600,1446,-1425.3267074,0.05,1.2206904888153076
23074,800.0,116,0.001,63,92800,1455,-1410.61004215,0.05,1.2357099056243896
23874,800.0,120,0.001,65,96000,1460,-1395.7728109399998,0.05,1.310948371887207
24674,800.0,124,0.001,67,99200,1468,-1386.6905930199998,0.05,1.0956671237945557
